ward_id,name,zone,zone_id,vill_name,sector_no,no_of_sch,no_med_fac,no_of_inst,govt_prima,total_popu,male_popul,female_pop,total_hous,shape_area,shape_leng,area_m2,area_km2,perimeter_m,perimeter_km,compactness,centroid_lon,centroid_lat,road_length_km,road_density_km_per_km2
1,Ward No - 1,North Zone,1,RANDHEJA,,0,0,0,0,0,0,0,0,21793417.67,45738.1696,21793417.12043959,21.79341712043959,29231.412667705492,29.23141266770549,0.32050557423783654,72.63284889358476,23.281515841802573,33.419,1.533
2,Ward No - 2,North Zone,1,PETHAPUR,,0,0,0,0,0,0,0,0,23070844.97,34120.8582,23070845.818459004,23.070845818459006,31023.540701971073,31.023540701971072,0.301224752758858,72.67112656691135,23.28008953968227,30.617,1.327
3,Ward No - 3,North Zone,1,,27,0,0,0,0,0,0,0,0,2549836.44,11177.0115,2549836.460791138,2.549836460791138,7464.321253565718,7.464321253565718,0.5750975876211896,72.64975831670804,23.247229201480884,11.034,4.327
4,Ward No - 4,Central Zone,2,,Palaj,0,0,0,0,0,0,0,0,24276581.26,78182.7672,24276581.626069143,24.276581626069145,33627.07243792554,33.62707243792554,0.2697859192431808,72.6768359844755,23.219834994634176,53.239,2.193
5,Ward No - 5,Central Zone,2,,18,0,0,0,0,0,0,0,0,8685875.5,37061.3812,8685875.581203183,8.685875581203183,17012.3290596412,17.0123290596412,0.37713420136668435,72.66151864123115,23.228528599570694,50.827,5.852
6,Ward No - 6,Central Zone,2,,14,0,0,0,0,0,0,0,0,7613330.1,35124.6981,7613330.107315509,7.613330107315509,12679.69016251571,12.67969016251571,0.5950688845413811,72.63847398802308,23.2297709524143,47.604,6.253
7,Ward No - 7,North Zone,1,KOLAVADA,,0,0,0,0,0,0,0,0,23957973.39,35771.4775,23957973.898769706,23.957973898769705,26046.549244890706,26.046549244890706,0.44377165880187214,72.60862447411937,23.251287350847615,52.823,2.205
8,Ward No - 8,South Zone,3,POR,,0,0,0,0,0,0,0,0,19596785.72,52339.8738,19596785.74802129,19.59678574802129,33412.32902784809,33.412329027848095,0.22058765790581858,72.6130446740698,23.173131440854434,80.621,4.114
9,Ward No - 9,South Zone,3,KUDASAN,,0,0,0,0,0,0,0,0,9811470.08,29114.6217,9811469.879277498,9.811469879277498,19298.75197075419,19.29875197075419,0.3310438238358748,72.63064348669187,23.181833538432297,53.627,5.466
10,Ward No - 10,South Zone,3,KOBA,,0,0,0,0,0,0,0,0,20271327.59,59788.9388,20271327.4869442,20.271327486944198,29480.52152073028,29.480521520730278,0.29310398944903515,72.65038913712934,23.16939588910481,83.465,4.117
11,Ward No - 11,South Zone,3,BHAT,,0,0,0,0,0,0,0,0,34044408.3,79938.322,34044408.22585631,34.04440822585631,48004.781289593826,48.00478128959383,0.18564645592001913,72.60404493627912,23.125217154945144,119.737,3.517
